,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
236,regiona-pe02[GigabitEthernet0/0/0/28],,,,[],,,False,NONE,default
237,regiona-pe02[GigabitEthernet0/0/0/29],,,,[],,,False,NONE,default
238,regiona-pe02[GigabitEthernet0/0/0/30],,,,[],,,False,NONE,default
239,regiona-pe02[GigabitEthernet0/0/0/31],,,,[],,,False,NONE,default
240,regiona-pe02[GigabitEthernet0/0/0/32],,,,[],,,False,NONE,default
241,regiona-pe02[GigabitEthernet0/0/0/33],,,,[],,,False,NONE,default
242,regiona-pe02[GigabitEthernet0/0/0/34],,,,[],,,False,NONE,default
243,regiona-pe02[GigabitEthernet0/0/0/35],,,,[],,,False,NONE,default
244,regiona-pe02[GigabitEthernet0/0/0/36],,,,[],,,False,NONE,default
245,regiona-pe02[GigabitEthernet0/0/0/37],,,,[],,,False,NONE,default
246,regiona-pe02[GigabitEthernet0/0/0/38],,,,[],,,False,NONE,default
247,regiona-pe02[GigabitEthernet0/0/0/39],,,,[],,,False,NONE,default
248,regiona-pe02[GigabitEthernet0/0/0/40],,,,[],,,False,NONE,default
249,regiona-pe02[GigabitEthernet0/0/0/41],,,,[],,,False,NONE,default
250,regiona-pe02[GigabitEthernet0/0/0/42],,,,[],,,False,NONE,default
251,regiona-pe02[GigabitEthernet0/0/0/43],,,,[],,,False,NONE,default
252,regiona-pe02[GigabitEthernet0/0/0/44],,,,[],,,False,NONE,default
253,regiona-pe02[GigabitEthernet0/0/0/45],,,,[],,,False,NONE,default
254,regiona-pe02[GigabitEthernet0/0/0/46],,,,[],,,False,NONE,default
255,regiona-pe02[GigabitEthernet0/0/0/47],,,,[],,,False,NONE,default
256,regiona-pe02[GigabitEthernet0/0/0/48],,,,[],,,False,NONE,default
257,regiona-pe02[GigabitEthernet0/0/0/49],,,,[],,,False,NONE,default
258,regiona-pe02[GigabitEthernet0/0/0/50],,,,[],,,False,NONE,default
259,regiona-pe02[GigabitEthernet0/0/0/51],,,,[],,,False,NONE,default
